GeneID	RNASeq_rdr6ddm1	RNASeq_RDR6ddm1	Riboseq_rdr6ddm1	Riboseq_RDR6ddm1	Type
AT1G01640	1.248884	0.479043	2.02167	0.358174	Gene
AT1G01650	12.129593	9.744494	10.1647	8.2637	Gene
AT1G01660	0.575966	0.361546	0	0.129754	Gene
AT1G01670	1.133594	1.46683	0.0844007	0	Gene
AT1G01680	10.784273	9.356368	0.167098	0	Gene
AT1G01690	0.501194	0.804453	0.856162	2.4246	Gene
AT1G01695	0.03542	0.084233	0	0.0443722	Gene
AT1G01700	0.15363	0.296159	0.243734	0.466378	Gene
AT1G01710	15.183228	13.326385	7.26565	4.58446	Gene
AT1G01720	45.118656	34.807003	21.7303	8.28103	Gene
AT1G01725	19.432373	12.08738	2.22971	0.775726	Gene
AT1G01730	14.364772	13.002914	7.49061	4.75473	Gene
AT1G01740	2.536888	2.297566	0.370517	0.472646	Gene
AT1G01750	0.304465	0	0.0899081	0.344074	Gene
AT1G01760	1.19216	1.218614	0.551534	0.219864	Gene
AT1G01770	4.736796	4.124603	1.20503	0.972053	Gene
AT1G01780	3.991149	4.447606	0.968722	1.05921	Gene
AT1G01790	54.656849	48.817478	20.7363	11.8056	Gene
AT1G01800	64.822472	58.165188	19.0418	11.2153	Gene
AT1G01810	0.362298	0.40257	0.4081	0.111556	Gene
AT1G01820	21.650185	21.972069	13.7157	7.67149	Gene
AT1G01830	16.959017	9.702413	3.93596	1.69219	Gene
AT1G01840	1.368744	1.125267	0.328934	0.629406	Gene
AT1G01860	7.024686	7.003793	2.64424	2.84873	Gene
AT1G01870	0	0	0	0	Gene
AT1G01880	0.492335	0.292555	0.227821	0.626802	Gene
AT1G01890	0	0	0	0	Gene
AT1G01900	1.423137	2.356112	14.1043	10.1206	Gene
AT1G01910	14.172702	16.476727	10.5064	9.73712	Gene
AT1G01920	5.920054	6.33292	1.79727	1.23452	Gene
AT1G01930	4.059773	4.821935	2.39969	1.60304	Gene
AT1G01940	7.367485	7.648278	3.05456	2.92241	Gene
AT1G01950	5.548347	6.378036	4.01108	7.3374	Gene
AT1G01960	8.993442	9.371712	10.6718	11.1744	Gene
AT1G01970	16.769367	19.163576	7.81088	6.5789	Gene
AT1G01980	0	0.020036	0	0	Gene
AT1G01990	13.65793	12.283481	1.41407	1.50321	Gene
AT1G02000	5.519572	5.110729	4.2982	2.9064	Gene
AT1G02010	5.454711	4.757562	0.325641	0.224317	Gene
AT1G02020	7.933561	7.11852	6.83867	4.20355	Gene
AT1G02030	0.047593	0.141459	0.0587921	0.0562486	Gene
AT1G02040	0.022751	0.00411	0	0	Gene
AT1G02050	3.011097	2.488486	0.0229806	0	Gene
AT1G02060	3.056196	2.534328	0.142122	0.148335	Gene
AT1G02065	0	0.022299	0.562114	1.59604	Gene
AT1G02070	0	0	0.0633647	0	Gene
AT1G02074	0	0	0	0	Gene
AT1G02080	12.374808	11.660413	10.3589	8.61222	Gene
AT1G02090	19.582493	23.872885	14.2073	19.1831	Gene
AT1G02100	19.728279	19.240438	6.16914	6.01246	Gene
AT1G02110	8.309678	8.645676	4.04762	5.73362	Gene
AT1G02120	44.35363	41.202702	7.64617	4.18809	Gene
AT1G02130	27.662838	25.154989	24.4737	20.2572	Gene
AT1G02136	0	0	0	0	Gene
AT1G02140	93.8274	101.341728	72.2728	69.3552	Gene
AT1G02145	9.8055	9.569076	3.77604	3.29269	Gene
AT1G02150	35.428452	43.673069	20.7501	25.355	Gene
AT1G02160	21.466846	20.142872	13.6688	8.77376	Gene
AT1G02170	18.254181	15.822697	11.3823	8.86682	Gene
AT1G02180	2.664219	2.365059	5.91137	4.63353	Gene
AT1G02190	0	0	0.312594	0.29905	Gene
AT1G02205	52.447941	49.411045	113.659	55.7481	Gene
AT1G02210	0	0	0	0	Gene
AT1G02220	3.926274	6.021421	0.554065	0.212038	Gene
AT1G02228	0	0	0.173699	0	Transposon
AT1G02230	1.186137	0.702399	0	0	Gene
AT1G02250	0.084697	0	0	0	Gene
AT1G02260	6.000547	5.721021	0.682558	0.276281	Gene
AT1G02270	14.112447	11.665073	5.03898	3.48464	Gene
AT1G02280	27.252184	34.629551	47.5796	48.7018	Gene
AT1G02290	2.758239	3.182012	2.73422	2.68133	Gene
AT1G02300	6.707435	5.238375	0.0746539	0	Gene
AT1G02305	43.951538	35.65073	30.9296	15.6768	Gene
AT1G02310	0	0.026438	0	0	Gene
AT1G02320	0	0	0	0	Gene
AT1G02330	12.574441	13.293106	6.55435	4.04751	Gene
AT1G02335	5.108744	2.92298	23.6315	9.91087	Gene
AT1G02340	1.263655	1.361635	0.897973	0.0464392	Gene
AT1G02350	0.531743	0.937756	0	0.440285	Gene
AT1G02360	2.910573	3.313215	0.189129	0.361893	Gene
AT1G02370	1.760746	2.136508	4.952	5.61629	Gene
AT1G02380	2.925972	4.581863	1.3321	0.584133	Gene
AT1G02390	9.841269	2.299114	1.9429	0.399421	Gene
AT1G02391	0	0	0	0	Gene
AT1G02400	0.98767	1.431715	0.42627	0.386364	Gene
AT1G02405	1.110782	1.154301	0.548355	0	Gene
AT1G02410	17.783321	19.300772	5.73483	3.60771	Gene
AT1G02420	2.60446	1.7508	1.58193	2.03076	Gene
AT1G02430	0	0.052649	0	0.196619	Gene
AT1G02440	0.621604	0.1945	0	0	Gene
AT1G02450	10.775188	5.807592	0.525768	1.00604	Gene
AT1G02460	0.228797	0.555645	0.636674	0.51776	Gene
AT1G02470	1.763543	1.749006	0	0	Gene
AT1G02475	62.195274	61.666195	48.6456	27.6495	Gene
AT1G02480	0	0	0	0	Gene
AT1G02490	0	0	0	0	Gene
AT1G02500	153.216766	149.221588	124.255	110.976	Gene
AT1G02510	0	0	0	0.0552034	Gene
AT1G02520	0.134089	0.15063	0.201733	0.0266214	Gene
AT1G02530	0	0.036767	0	0.0128655	Gene
AT1G02540	0	0	0	0	Gene
AT1G02550	0	0	0	0	Gene
AT1G02560	158.111816	163.723648	86.941	93.1218	Gene
AT1G02570	0	0	0	0	Gene
AT1G02575	0	0	0	0	Gene
AT1G02580	0.02013	0	0	0	Gene
AT1G02590	0	0	0	3.80851	Gene
AT1G02600	0	0	0	0	Gene
AT1G02610	4.938454	5.65006	0.173456	0.132762	Gene
AT1G02620	0.040787	0	0	0	Gene
AT1G02630	0.028662	0.02284	0.51789	0	Gene
AT1G02640	0.677124	1.36462	7.01728	7.97443	Gene
AT1G02650	0.089722	0.236141	0.361736	0.437162	Gene
AT1G02660	3.30846	4.032377	1.88719	1.60267	Gene
AT1G02670	0.488297	0.419301	0.139054	0.558762	Gene
AT1G02680	9.130916	8.897188	5.53334	5.60536	Gene
AT1G02681	0	0	0	0	Gene
AT1G02690	0.770271	1.071827	3.94134	7.09139	Gene
AT1G02700	0.44774	0.392226	0.27719	0.353598	Gene
AT1G02710	0	0.125022	6.74004	11.3493	Gene
AT1G02720	1.968028	2.993947	1.41502	1.62457	Gene
AT1G02730	0.728296	0.971261	7.96009	14.3756	Gene
AT1G02740	4.661726	4.086468	1.78126	1.7479	Gene
AT1G02750	12.059054	11.818808	3.65936	3.34001	Gene
AT1G02760	0	0	0	0	Gene
AT1G02770	0.302118	0.17942	0.200839	0	Gene
AT1G02780	395.638275	483.398834	184.017	179.941	Gene
AT1G02790	0	0.04396	0.0175229	0	Gene
AT1G02800	0.108979	0.119996	2.41749	5.84477	Gene
AT1G02810	0	0.077123	0.404295	0.372478	Gene
AT1G02813	0	0	0.186393	0	Gene
AT1G02816	19.766382	19.882534	20.1289	11.3674	Gene
AT1G02820	307.07782	184.819412	49.9614	5.42912	Gene
AT1G02830	0	0.258391	0	0	Gene
AT1G02840	55.039169	48.667919	14.8606	17.1046	Gene
AT1G02850	12.877839	8.677516	3.09846	0.471625	Gene
AT1G02860	5.149054	3.686557	1.22224	2.08829	Gene
AT1G02870	8.913272	10.732374	12.2496	15.5248	Gene
AT1G02880	13.609867	11.154568	6.84548	6.32174	Gene
AT1G02890	18.833675	15.743695	12.5522	10.1356	Gene
AT1G02900	1.731854	1.740336	2.22937	1.29268	Gene
AT1G02910	33.198513	31.60416	12.05	11.5647	Gene
AT1G02920	161.492218	104.592896	1.69278	2.1594	Gene
AT1G02930	238.5224	162.095367	16.8854	40.6316	Gene
AT1G02940	0.114845	0.166347	0.0447963	0.514299	Gene
AT1G02950	2.678133	2.304869	1.89101	0.417317	Gene
AT1G02952	0	0.078545	2.08024	0	Gene
AT1G02960	7.667702	7.556807	0.543612	0.589422	Gene
AT1G02965	0	0	0	0	Gene
AT1G02970	0.838857	1.166203	1.09527	1.41686	Gene
AT1G02980	0	0	0	0.0229781	Gene
AT1G02990	4.105617	4.684888	0.855469	0.937108	Gene
AT1G03000	6.573174	7.928751	2.4658	2.34227	Gene
AT1G03010	0.043942	0.096158	0.363182	0.591985	Gene
AT1G03020	2.571025	1.250334	7.37155	0.88158	Gene
AT1G03022	0	0	0	0	Gene
AT1G03030	12.125985	10.803215	4.84292	3.37363	Gene
AT1G03040	17.831802	16.273479	6.24475	5.48068	Gene
AT1G03050	0.022112	0.055652	0	0.247004	Gene
AT1G03055	8.305907	7.87244	4.69759	4.83121	Gene
AT1G03060	4.523767	4.06283	1.9728	1.97544	Gene
AT1G03070	0.887898	0.479743	1.56325	0.537517	Gene
AT1G03080	14.004532	10.983727	6.42961	3.75971	Gene
AT1G03090	7.832901	6.103552	3.23307	1.83275	Gene
AT1G03100	0.502936	0.825328	0.106642	0.265721	Gene
AT1G03103	0	0	0	0	Gene
AT1G03106	0	0	0	0	Gene
AT1G03110	2.964745	3.389873	5.52577	6.3799	Gene
AT1G03120	0.749861	0.582136	0.0733826	0	Gene
AT1G03130	1130.340942	1283.731812	523.593	404.217	Gene
AT1G03140	26.27939	23.395388	14.1429	12.5083	Gene
AT1G03150	15.299391	16.439396	6.40709	6.94122	Gene
AT1G03160	18.856487	16.773884	10.3378	10.7483	Gene
AT1G03170	0.131388	0.104698	0.149837	0.114684	Gene
AT1G03180	0.504449	0.600828	0.913899	1.74872	Gene
AT1G03190	2.991462	1.870241	2.04068	1.97295	Gene
AT1G03200	0.349373	0.403403	0.320597	0	Gene
AT1G03210	14.690577	9.485495	2.82413	4.21948	Gene
AT1G03220	14.614252	13.673067	14.4656	13.7479	Gene
AT1G03230	4.871687	6.003786	5.04341	5.85785	Gene
AT1G03240	0	0	0	0	Gene
AT1G03250	25.146296	21.336134	9.93342	7.36091	Gene
AT1G03260	4.967993	4.517189	2.64118	2.37573	Gene
AT1G03270	2.129081	2.460991	2.35853	2.25649	Gene
AT1G03280	20.483818	19.726734	3.78452	2.61502	Gene
AT1G03290	29.723658	24.44523	5.83107	2.95157	Gene
AT1G03300	1.50837	1.883557	0.352241	0.674004	Gene
AT1G03310	21.500044	16.792593	4.6201	3.38879	Gene
AT1G03320	0.544179	0.811284	0.0552707	0	Gene
AT1G03330	36.302216	42.633942	19.8925	15.5419	Gene
AT1G03340	2.520699	2.076774	0.395656	0	Gene
AT1G03350	17.203197	15.118036	11.8869	8.57664	Gene
AT1G03360	2.753354	3.79942	4.73162	5.46907	Gene
AT1G03365	5.987982	6.572514	3.86582	2.79942	Gene
AT1G03370	8.532308	8.535332	1.66715	1.7114	Gene
AT1G03380	20.252611	14.725975	3.05835	1.64633	Gene
AT1G03390	0.066547	0	0	0	Gene
AT1G03400	40.975098	38.246487	8.04184	6.70269	Gene
AT1G03410	4.072301	3.478349	0.0312485	0	Gene
AT1G03420	16.62722	16.307373	0.904566	0.614178	Transposon
AT1G03430	17.513018	15.872715	6.50702	4.09105	Gene
AT1G03440	9.68011	11.992951	13.2879	12.1298	Gene
AT1G03445	0	0	0	0	Gene
AT1G03457	0.721179	1.123409	0.816808	0.998976	Gene
AT1G03470	0.660509	0.560803	0.81261	0.551738	Gene
AT1G03475	68.703651	89.781357	76.6958	98.9992	Gene
AT1G03490	0	0	0	0	Gene
AT1G03495	4.110544	0.719666	0.312755	1.35438	Gene
AT1G03502	0.289919	0.53619	0	0	Gene
AT1G03506	0.279177	0.963074	0	0	Gene
AT1G03510	0.25013	0.221538	0.234449	0.134584	Gene
AT1G03515	0	0	0	0	Gene
AT1G03520	4.9784	4.634242	3.58492	1.74463	Gene
AT1G03530	2.760476	2.62816	1.21268	0.915957	Gene
AT1G03540	0.338529	0.466155	0.235088	0.149945	Gene
AT1G03545	0.382257	0.318832	0	0	Gene
AT1G03550	2.883185	2.206394	0	0	Gene
AT1G03560	3.361278	2.857776	0.435033	0.523238	Gene
AT1G03570	0	0	0	0	Gene
AT1G03580	0.219385	0.304311	0.076214	0	Gene
AT1G03590	8.697315	8.011152	4.17951	3.49716	Gene
AT1G03600	561.625061	689.828064	162.773	136.196	Gene
AT1G03610	21.350693	17.760208	8.19271	3.57942	Gene
AT1G03620	0.478154	0.339553	0.116236	0.148277	Gene
AT1G03630	154.636703	156.397415	84.2159	61.7639	Gene
AT1G03640	0	0	0	0	Gene
AT1G03650	2.748233	3.27079	0.560706	0.742775	Gene
AT1G03660	1.232641	1.082807	0	0	Gene
AT1G03670	0	0	0	0	Gene
AT1G03680	263.246277	294.015106	289.865	257.996	Gene
AT1G03687	5.874892	5.136197	2.93997	3.2146	Gene
AT1G03700	0	0	0	0	Gene
AT1G03710	0.217423	0.382707	0.235554	0.540872	Gene
AT1G03720	0	0	0	0	Gene
AT1G03730	4.330332	4.857184	1.2663	0.845244	Gene
AT1G03740	10.421709	9.858931	1.28737	0.693896	Gene
AT1G03743	0	0	141.839	305.33	Gene
AT1G03746	0	0	45.297	346.699	Gene
AT1G03750	2.1106	1.412953	0.576019	0.708556	Gene
AT1G03760	3.18861	3.760998	1.47005	1.82011	Gene
AT1G03770	0.810924	2.118151	1.12262	0.415742	Gene
AT1G03780	0.280627	0.21603	2.08093	6.58052	Gene
AT1G03790	0	0	0.0186085	0	Gene
AT1G03800	0.06249	0.282505	0.237749	0	Gene
AT1G03810	0	0	0.331703	0	Gene
AT1G03820	5.807023	18.430847	9.80258	7.19142	Gene
AT1G03830	0.599619	0.948145	0.790874	1.03829	Gene
AT1G03840	0.081968	0.10891	0.120348	0.420015	Gene
AT1G03850	14.044157	5.723444	0.27816	0.425802	Gene
AT1G03860	29.137726	37.457169	31.0782	45.5486	Gene
AT1G03870	28.496569	50.282417	34.3798	38.7211	Gene
AT1G03880	0	0	0	0	Gene
AT1G03890	0	0	0	0	Gene
AT1G03900	49.060364	42.579212	11.2678	7.4972	Gene
AT1G03905	0.733727	0.580471	0.543232	0.259865	Gene
AT1G03910	13.408796	12.928004	8.2009	7.26893	Gene
AT1G03920	0.101741	0.1883	0.396259	0.108319	Gene
AT1G03930	15.738622	18.513605	5.78222	3.61184	Gene
AT1G03935	3.341294	1.122179	0	0	Gene
AT1G03940	6.335671	0.835239	0.50518	0.892291	Gene
AT1G03950	12.931706	12.266559	6.21576	2.80569	Gene
AT1G03960	2.171716	2.316925	0.659686	0.665109	Gene
AT1G03970	14.002832	11.079725	4.36765	3.92075	Gene
AT1G03980	0.457464	0.257123	2.28289	0.823337	Gene
AT1G03982	0	0	0.187559	0	Gene
AT1G03990	0.132731	0.129734	0.0368934	0.047063	Gene
AT1G04000	13.538558	11.319192	3.45456	2.04316	Gene
AT1G04010	2.256299	2.077356	0.801446	0.644534	Gene
AT1G04020	3.067557	3.239631	2.16239	4.02645	Gene
AT1G04030	0.859723	0.751302	0.403523	0.534552	Gene
AT1G04040	37.711178	53.626865	43.5409	28.1116	Gene
AT1G04050	0.968262	0.741984	0.505646	0.394915	Gene
AT1G04070	5.671067	7.356346	12.2075	12.6385	Gene
AT1G04080	30.720831	32.031742	13.3334	13.3729	Gene
AT1G04090	0.281632	0.112148	0.101311	0.110775	Gene
AT1G04100	3.376418	2.387115	0.945613	0.974296	Gene
AT1G04110	0.078975	0.616323	3.15676	4.45565	Gene
AT1G04120	9.650013	7.521461	5.26581	3.38753	Gene
AT1G04130	8.922144	7.479027	4.46914	3.28907	Gene
AT1G04140	22.932947	20.875978	6.64019	4.83153	Gene
AT1G04150	0	0	0.0179914	0	Gene
AT1G04160	1.522085	1.355675	0.842675	0.806218	Gene
AT1G04170	29.363562	31.29829	43.9088	58.8252	Gene
AT1G04171	0	0	0	0	Gene
AT1G04180	0.102361	0.31758	0.14384	0	Gene
AT1G04190	13.883696	13.771665	9.3292	7.97698	Gene
AT1G04200	6.310074	6.505929	3.02274	2.21684	Gene
AT1G04210	8.588504	10.312216	5.33524	5.03344	Gene
AT1G04220	11.835991	2.887108	3.96749	1.04926	Gene
AT1G04230	5.092898	4.343633	2.10769	1.91256	Gene
AT1G04240	45.803562	44.493294	16.0456	8.20074	Gene
AT1G04250	117.84034	95.727585	50.5166	22.5527	Gene
AT1G04260	8.430619	8.5629	15.5124	11.1981	Gene
AT1G04270	191.710983	293.979095	371.303	449.163	Gene
AT1G04280	9.340605	8.729627	2.13248	1.33181	Gene
AT1G04290	34.799763	30.92561	10.0394	6.65548	Gene
AT1G04295	2.104797	1.434671	11.3498	6.54311	Gene
AT1G04300	15.569177	14.374551	3.75592	2.58322	Gene
AT1G04310	1.328065	1.175816	0.753863	0.538246	Gene
AT1G04320	0	0	0	0	Gene
AT1G04330	0.343134	0.709822	0.216857	0	Gene
AT1G04340	17.171656	18.056055	25.0553	28.2778	Gene
AT1G04350	91.036804	62.072105	28.1192	14.2276	Gene
AT1G04360	0.873807	1.361242	0.501841	0.680185	Gene
AT1G04370	0	0	0	0	Gene
AT1G04380	0	0.028761	0.212566	0.271159	Gene
AT1G04390	2.908042	2.329171	0.48222	0.301657	Gene
AT1G04400	26.071817	29.113964	13.2409	8.28925	Gene
AT1G04410	290.680145	288.192322	361.475	263.38	Gene
AT1G04420	61.023125	75.946236	19.9915	15.5282	Gene
AT1G04425	0	0.541718	0.698363	0.5727	Gene
AT1G04430	20.827566	26.9452	31.6792	29.426	Gene
AT1G04440	27.535067	24.567923	8.55032	5.41086	Gene
AT1G04445	0.088858	0.018174	0	2.15134	Gene
AT1G04450	0	0	0	0	Gene
AT1G04457	0	0	0	0	Gene
AT1G04470	0	0.011112	0.016439	0.14155	Gene
AT1G04480	123.257202	153.266129	73.6924	97.8316	Gene
AT1G04490	1.04844	0.588661	0.271385	0	Gene
AT1G04500	0.164757	0	0	0	Gene
AT1G04501	0	0	0	0	Gene
AT1G04510	14.16525	18.042871	21.1272	24.865	Gene
AT1G04520	8.22968	12.971109	9.51765	9.5189	Gene
AT1G04530	111.034843	127.897575	46.2936	31.706	Gene
AT1G04540	0.508669	0.596745	0.190883	0.547875	Gene
AT1G04550	30.371037	22.656929	13.0982	13.568	Gene
AT1G04555	4.862859	4.202705	3.52891	1.58882	Gene
AT1G04560	0	0	0	0.0747052	Gene
AT1G04570	1.170052	0.747829	0.692003	0.563459	Gene
AT1G04580	0.011237	0	0	0	Gene
AT1G04590	9.486862	10.714142	8.53278	8.97572	Gene
AT1G04600	0.277788	0.428843	0.0255703	0	Gene
AT1G04610	0	0	0	0.0318049	Gene
AT1G04620	15.129753	16.462543	12.439	11.5886	Gene
AT1G04625	0.080457	0.01268	0	0	Gene
AT1G04630	26.303692	33.535297	18.5404	16.9749	Gene
AT1G04635	0.405498	1.023437	0.743217	0.914225	Gene
AT1G04640	47.80191	45.323578	16.3485	11.3179	Gene
AT1G04645	0	0	0	0	Gene
AT1G04650	0.846645	1.252726	0.626769	0.675666	Gene
AT1G04660	0.321532	0	0.657664	0.808987	Gene
AT1G04670	0	0	0	0	Gene
AT1G04680	18.339632	24.400869	72.203	66.3274	Gene
AT1G04684	0	0	0	0	Gene
AT1G04690	35.214691	36.137707	30.8519	25.1108	Gene
AT1G04700	0.106452	0.132363	0.249407	0.145822	Gene
AT1G04710	16.045488	14.271623	7.82044	6.51837	Gene
AT1G04720	0	0	0	0	Gene
AT1G04730	0.965793	1.43821	0.994914	1.61639	Gene
AT1G04750	30.535746	33.076107	32.8821	33.9794	Gene
AT1G04760	0.293537	0.110856	1.3265	2.3267	Gene
AT1G04770	25.642164	10.302897	10.7461	4.11249	Gene
AT1G04778	0.120696	0.575652	1.18098	0.451956	Gene
AT1G04780	13.483829	11.282098	2.74192	1.68707	Gene
AT1G04790	7.984721	8.851307	4.11225	3.44255	Gene
AT1G04800	49.046688	121.998375	46.5159	20.8068	Gene
AT1G04810	10.616352	10.568032	7.69176	6.48722	Gene
AT1G04820	75.169174	82.309662	35.3895	51.9748	Gene
AT1G04830	10.725705	8.060818	1.70439	1.95006	Gene
AT1G04840	0.135866	0.107709	0.269938	0.135926	Gene
AT1G04850	37.929428	39.393692	16.636	9.86313	Gene
AT1G04860	8.839415	8.670177	2.26966	1.47295	Gene
AT1G04870	12.899251	13.213964	13.7451	16.201	Gene
AT1G04880	0.166095	0.331638	0.128944	0	Gene
AT1G04890	0	0	0	0	Gene
AT1G04900	2.118363	2.871916	1.29902	1.97576	Gene
AT1G04910	11.397161	10.527472	6.58513	4.44892	Gene
AT1G04920	0.198968	0.420779	0.804639	0.807198	Gene
AT1G04930	1.570509	1.654304	2.21912	2.10123	Gene
AT1G04940	36.449718	41.008396	13.4608	18.0402	Gene
AT1G04945	2.372502	2.347305	1.9283	1.71407	Gene
AT1G04950	8.722652	7.602836	9.28298	7.65342	Gene
AT1G04960	16.69076	14.755923	5.77077	4.68576	Gene
AT1G04970	14.113089	12.321832	6.01023	3.46632	Gene
AT1G04980	9.907785	10.502769	2.8979	3.89558	Gene
AT1G04985	35.173878	33.10947	2.45009	1.17204	Gene
AT1G04990	4.705484	3.729006	2.65379	1.7524	Gene
AT1G05000	1.460637	1.729137	0.452392	0.324612	Gene
AT1G05010	142.487747	134.327957	209.607	188.441	Gene
AT1G05020	0.219251	0.258694	0.080755	0.0882987	Gene
AT1G05030	7.863464	6.717774	1.76352	1.8575	Gene
AT1G05040	0	0	0	0	Gene
AT1G05055	4.370763	5.409161	2.81926	3.13112	Gene
AT1G05060	14.694565	11.696254	4.62775	2.44278	Gene
AT1G05061	0.095467	0.02532	0.0302515	0	Gene
AT1G05065	3.474046	3.127544	0.811226	6.20904	Gene
AT1G05070	23.198515	21.731707	11.0669	10.1906	Gene
AT1G05080	0	0	0	0	Gene
AT1G05085	0	0	0	0	Gene
AT1G05090	4.129912	4.477988	0	0	Gene
AT1G05100	1.648306	0.606607	0.667491	0	Gene
AT1G05120	4.680034	4.737234	2.00809	1.44815	Gene
AT1G05135	9.912422	17.773081	11.3878	6.97287	Gene
AT1G05136	0	0	0	0	Gene
AT1G05140	41.39624	38.566441	24.5551	19.8699	Gene
AT1G05150	7.609882	7.941688	9.48957	8.28994	Gene
AT1G05160	3.890303	4.701016	0.367245	0.702715	Gene
AT1G05170	36.968697	19.558683	11.2672	2.9562	Gene
AT1G05180	11.494855	10.484465	6.04757	6.32752	Gene
AT1G05190	284.299744	375.750061	96.6001	119.811	Gene
AT1G05200	15.666785	14.991341	2.56613	0.960014	Gene
AT1G05205	16.798445	19.487356	12.4815	14.275	Gene
AT1G05210	1.428438	3.021522	5.87863	7.81392	Gene
AT1G05220	0.347328	0.104252	0.0506638	0.0969439	Gene
AT1G05230	7.412872	5.816806	2.8546	4.13991	Gene
AT1G05240	0	0.014389	0	0	Gene
AT1G05250	0	0.013451	0	0	Gene
AT1G05260	0	0.030396	1.01316	0.533131	Gene
AT1G05270	18.059607	18.317747	8.46733	5.6068	Gene
AT1G05280	0	0	0	0	Gene
AT1G05290	0	0	0	0	Gene
AT1G05291	0	0	0	0	Gene
AT1G05300	1.043798	0.826137	1.52231	0.374515	Gene
AT1G05310	1.17426	1.016801	2.33738	0.731084	Gene
AT1G05320	6.425038	4.496115	2.6597	2.12383	Gene
AT1G05330	0	0	0.479613	0	Gene
